DELTA AIR,288.0
PTICKET.COM-UC SAN DIEGO,133.0
ALLSTATEshops COAST,105.22
CHEF CHIN CONVOY,83.06
THE BOILING CRAB,66.94
TMC*TIME WARNER COM,64.8525
LITTLE SHEEP MONGOLIAN,64.5
DIM SUM KING,58.8
GILBERT&#39;S FIREFISH GRI,57.07
CHINA MAX,54.0
SEARS ROEBUCK,50.73
UCSD TRITON SVCES,50.0
FOOD4LESS,30.515
SHELL OIL,30.0
GROUPON INC,29.99
RALPHS,25.982380952380954
MOBO SUSHI,23.0
EXXONMOBIL,20.01
CHEVRON,20.0
LEMONADE,18.26
99 RANCH,15.1325
PEARL RESTAURANT,12.91
WAL-MART,12.86
DENNY,12.0
SOUPLANTATION,11.55
TRADER JOE,9.516
TAPIOCA EXPRESS,8.35
BURGER KING,8.0275
BOMBAY COAST,7.472499999999999
PANDA EXPRESS,7.01
RUBIO,6.905
SHOGUN OF LA JOLLA,6.75
SUBWAY,6.686470588235294
SANTORINI GREEK ISLAND,6.58
UCSD HDH GOODYS PLACE,6.55
WHOLEFDS,6.28
UCSD RECREATION,3.0
DNC TRAVEL - LAX C,2.89
UCSD POSTAL CENTER,2.645
STARBUCKS,2.25
UCSD HDH EARLS PLACE,2.25
7-ELEVEN,1.89
UCSD-BOOKSTORES,1.839833333333332
MCDONALD,1.5
