RALPHS,545.63
DELTA AIR,288.0
TMC*TIME WARNER COM,259.41
CHEF CHIN CONVOY,166.12
PTICKET.COM-UC SAN DIEGO,133.0
FOOD4LESS,122.06
SUBWAY,113.67
UCSD-BOOKSTORES,110.38999999999993
ALLSTATEshops COAST,105.22
UCSD TRITON SVCES,100.0
CHEVRON,100.0
TRADER JOE,95.16
BOMBAY COAST,89.66999999999999
THE BOILING CRAB,66.94
LITTLE SHEEP MONGOLIAN,64.5
99 RANCH,60.53
DIM SUM KING,58.8
GILBERT&#39;S FIREFISH GRI,57.07
CHINA MAX,54.0
SEARS ROEBUCK,50.73
BURGER KING,32.11
SHELL OIL,30.0
GROUPON INC,29.99
RUBIO,27.62
MOBO SUSHI,23.0
EXXONMOBIL,20.01
LEMONADE,18.26
SANTORINI GREEK ISLAND,13.16
PEARL RESTAURANT,12.91
WAL-MART,12.86
DENNY,12.0
SOUPLANTATION,11.55
TAPIOCA EXPRESS,8.35
PANDA EXPRESS,7.01
SHOGUN OF LA JOLLA,6.75
UCSD HDH GOODYS PLACE,6.55
WHOLEFDS,6.28
UCSD POSTAL CENTER,5.29
UCSD RECREATION,3.0
DNC TRAVEL - LAX C,2.89
STARBUCKS,2.25
UCSD HDH EARLS PLACE,2.25
7-ELEVEN,1.89
MCDONALD,1.5
